Movie Name,Release Date,Opening Day,Opening Weekend,End of Week 1,Lifetime
Kranti Kshetra,26-Aug-94,0.26,0.72,1.24,2.36
Chaand Ka Tukdaa,20-Aug-94,0.25,0.73,1.24,2.06
Naaraaz,19-Aug-94,0.24,0.68,1.18,2.15
Aag,19-Aug-94,0.33,0.94,1.61,3.22
Hum Aapke Hain Koun..!,6-Aug-94,0.1,0.29,0.68,72.47
Vijaypath,5-Aug-94,0.51,1.44,2.41,6.45
Janta Ki Adalat,30-Jul-94,0.33,0.92,1.57,3.09
1942 – A Love Story,28-Jul-94,0.42,1.21,2.32,6.99
Krantiveer,23-Jul-94,0.44,1.27,2.27,9.35
Eena Meena Deeka,12-Jul-94,0.38,1.06,1.85,3.93
Mohra,9-Jul-94,0.6,1.59,3.17,12.01
Juaari,8-Jul-94,0.18,0.52,0.89,1.75
Laadla,2-Jul-94,0.39,1.11,2.02,7.16
Aatish,25-Jun-94,0.56,1.56,2.64,6.43
Ekka Raja Rani,24-Jun-94,0.27,0.77,1.29,2.47
Cheetah,24-Jun-94,0.3,0.78,1.35,3.61
Anth,11-Jun-94,0.32,0.91,1.59,3.93
Jai Kishan,10-Jun-94,0.23,0.64,1.1,2.45
Aa Gale Lag Jaa,14-May-94,0.2,0.64,1.09,3.19
Yeh Dillagi,7-May-94,0.29,0.88,1.63,5.72
Pehla Pehla Pyar,6-May-94,0.16,0.5,0.88,1.76
Saajan Ka Ghar,30-Apr-94,0.19,0.65,1.17,3.76
Anjaam,22-Apr-94,0.4,1.16,2.04,4.99
Betaaj Badshah,8-Apr-94,0.31,0.87,1.48,2.97
Chauraha,8-Apr-94,0.13,0.36,0.63,1.54
Khuddar,25-Mar-94,0.38,1.06,1.84,4.51
Salaami,18-Mar-94,0.13,0.41,0.73,2.8
Imtihaan,11-Mar-94,0.27,0.78,1.38,3.09
Kabhi Haan Kabhi Naa,25-Feb-94,0.14,0.5,0.96,3.88
Dilwale,4-Feb-94,0.29,0.83,1.51,6.33
Dulaara,28-Jan-94,0.29,0.8,1.4,3.51
Elaan,21-Jan-94,0.31,0.89,1.59,4.61
Raja Babu,21-Jan-94,0.49,1.38,2.5,8.24
Zamane Se Kya Darna,14-Jan-94,0.39,1.12,1.87,4.06
Tejasvini,30-Nov-93,0.26,0.75,1.3,3.76
Maha Shaktishaali,30-Nov-93,0.17,0.46,0.79,1.58
Haqeeqat,29-Dec-95,0.64,1.83,3.02,6.25
Trimurti,22-Dec-95,1.06,3.07,5.04,8.58
Gambler,8-Dec-95,0.72,2.06,3.46,7.17
Akele Hum Akele Tum,30-Nov-95,0.4,1.29,2.35,7.07
Ram Jaane,29-Nov-95,0.62,1.78,3.16,8.61
Angarakshak,17-Nov-95,0.69,1.9,3.1,5.65
Diya Aur Toofan,27-Oct-95,0.24,0.64,1.08,1.84
Dilwale Dulhania Le Jayenge,20-Oct-95,0.55,1.56,3.37,53.31
Yaraana,20-Oct-95,0.46,1.39,2.57,5.21
Barsaat,6-Oct-95,0.68,1.96,3.67,19.19
Veergati,29-Sep-95,0.57,1.58,2.62,4.99
Kartavya,29-Sep-95,0.44,1.3,2.09,3.35
Jallaad,15-Sep-95,0.49,1.34,2.3,4.69
Ram Shastra,11-Sep-95,0.44,1.17,1.82,2.67
Gundaraj,8-Sep-95,0.61,1.67,2.87,5.08
Sabse Bada Khiladi,6-Sep-95,0.65,1.82,3.15,9.4
Ahankaar,25-Aug-95,0.39,1.11,1.87,3.14
Oh Darling Yeh Hai India,11-Aug-95,0.22,0.68,1.16,1.78
Guddu,11-Aug-95,0.25,0.78,1.34,2.55
Hum Dono,11-Aug-95,0.46,1.34,2.36,6.06
Rangeela,9-Aug-95,0.71,2.05,3.73,20.22
